# Atoms, Baseline, N3L, OpenMP Baseline, OpenMP N3L, Cell List, AVX N3L, OpenMP Cell List, CUDA Baseline
32, 0.004, 0.0042, 0.0004, 0.0002, 0.0046, 0.0002, 0.0093, 0.0079
256, 0.0291, 0.0102, 0.0184, 0.0103, 0.0111, 0.0112, 0.0385, 0.1004
864, 0.2791, 0.1353, 0.0462, 0.0324, 0.0555, 0.1019, 0.1073, 0.1539
2048, 1.2966, 0.6155, 0.2010, 0.1133, 0.1295, 0.5214, 0.5438, 0.2284
4000, 4.4075, 2.0752, 0.6973, 0.4638, 0.2749, 1.9291, 1.9937, 0.5290
6912, 12.2161, 5.7002, 1.9928, 1.2048, 0.4142, 5.7030, 5.7882, 1.7529
10976, 29.1747, 13.5037, 4.8652, 2.6088, 0.6362, 14.2998, 14.3616, 4.1019
16384, 62.4466, 28.7080, 10.5250, 5.5309, 0.9957, 31.7460, 31.7015, 8.1043
23328, 122.7900, 56.1813, 21.0672, 10.7819, 1.3978, 64.5582, 64.2307, 14.3357
32000, 225.6730, 102.9945, 39.1356, 19.6587, 1.7733, 121.6124, 120.7344, 27.5898
